,title,year,rating
33,秘密,(2000),5.3
7,坏蛋必须死,(2015),6.0
16,妻子结婚了,(2008),6.3
18,无防备都市,(2008),6.4
26,我的野蛮初恋,(2003),6.4
21,搭讪的法则,(2005),6.4
22,外出,(2005),6.5
8,海盗,(2014),6.6
9,共犯,(2013),6.6
6,没有秘密,(2016),6.7
12,我的见鬼女友,(2011),6.8
15,白夜行,(2009),6.9
31,恩怨两姐妹,(2001),7.0
14,个人取向,(2010),7.0
2,协商,(2018),7.0
10,鲨鱼,(2013),7.2
25,夏日香气,(2003),7.2
28,大望,(2002),7.2
19,千年狐,(2007),7.3
32,美味美爱,(2001),7.5
30,醉画仙,(2002),7.5
5,德惠翁主,(2016),7.5
11,摩天楼,(2012),7.5
29,向左爱·向右爱,(2002),7.6
17,聚光灯,(2008),7.6
3,经常请吃饭的漂亮姐姐,(2018),7.6
23,我脑中的橡皮擦,(2004),7.9
1,爱的迫降,(2019),8.2
27,假如爱有天意,(2003),8.3
4,现在去见你,(2018),8.3
20,恋爱时代,(2006),8.4
13,秘密花园,(2010),8.4
0,波士顿1947,(2020),
24,元晓大师,(2004),
